,drug_label,response
0,4912,342.0
1,2461,19.0
2,1108,195.0
3,445,41.0
4,1316,16.0
5,370,1029.0
6,1205,278.0
7,852,77.0
8,385,44.0
9,357,87.0
10,3661,11.0
11,814,168.0
12,4833,363.0
13,4883,133.0
14,1890,4.0
15,2414,63.0
16,3443,153.0
17,984,94.0
18,2187,104.0
19,884,193.0
20,3543,41.0
21,686,27.0
22,3511,14.0
23,1784,427.0
24,698,16.0
25,881,224.0
26,183,442.0
27,926,181.0
28,663,200.0
29,873,1.0
30,706,222.0
31,1887,81.0
32,1655,4.0
33,1680,70.0
34,3363,58.0
35,4234,4.0
36,2048,15.0
37,1991,421.0
38,315,119.0
39,1290,264.0
40,2106,73.0
41,2259,17.0
42,3909,343.0
43,537,11.0
44,1750,335.0
45,2267,31.0
46,374,201.0
47,1729,192.0
48,1742,96.0
49,1539,37.0
50,3719,13.0
51,1495,118.0
52,121,48.0
53,542,254.0
54,1676,14.0
55,554,65.0
56,2940,90.0
57,442,12.0
58,1371,454.0
59,466,162.0
60,1290,8.0
61,1000,357.0
62,453,59.0
63,968,120.0
64,3228,113.0
65,817,3.0
66,1508,77.0
67,4933,545.0
68,725,37.0
69,1032,28.0
70,1608,5.0
71,834,6.0
72,1270,31.0
73,319,241.0
74,816,14.0
75,1100,69.0
76,756,131.0
77,1550,87.0
78,425,131.0
79,1701,40.0
80,972,576.0
81,401,16.0
82,851,345.0
83,441,486.0
84,1007,74.0
85,1415,415.0
86,2378,16.0
87,3621,43.0
88,1810,32.0
89,310,179.0
90,289,224.0
91,816,14.0
92,152,43.0
93,559,220.0
94,1933,510.0
95,642,210.0
96,3068,161.0
97,1057,50.0
98,685,94.0
99,2589,268.0
100,188,34.0
101,1314,101.0
102,1882,150.0
103,2864,257.0
104,886,64.0
105,219,294.0
106,509,135.0
107,3812,353.0
108,781,252.0
109,3002,352.0
110,420,169.0
111,5483,522.0
112,3484,84.0
113,486,367.0
114,1363,77.0
115,1974,230.0
116,595,38.0
117,2583,162.0
118,415,21.0
119,1879,84.0
120,1589,4.0
121,518,59.0
122,3137,228.0
123,4872,34.0
124,952,590.0
125,1741,304.0
126,474,369.0
127,3351,126.0
128,286,315.0
129,3446,190.0
130,3308,6.0
131,558,114.0
132,2612,287.0
133,5473,4.0
134,579,98.0
135,2181,89.0
136,3520,73.0
137,590,27.0
138,1631,7.0
139,937,65.0
140,455,3.0
141,1182,86.0
142,1165,457.0
143,770,23.0
144,2690,125.0
145,2598,219.0
146,1034,64.0
147,425,120.0
148,929,24.0
149,1146,165.0
150,377,146.0
151,1091,266.0
152,367,54.0
153,342,296.0
154,2667,300.0
155,348,31.0
156,1442,60.0
157,10067,413.0
158,2667,9.0
159,3427,272.0
160,673,320.0
161,4439,186.0
162,878,327.0
163,109,6.0
164,6160,150.0
165,1181,156.0
166,1820,27.0
167,685,653.0
168,1939,5.0
169,1072,354.0
170,1378,229.0
171,3957,109.0
172,2073,346.0
173,940,97.0
174,3365,15.0
175,692,27.0
176,514,230.0
177,325,48.0
178,608,505.0
179,455,29.0
180,1825,257.0
181,1089,532.0
182,2514,307.0
183,1173,221.0
184,1015,14.0
185,221,67.0
186,2193,132.0
187,691,116.0
188,338,142.0
189,1511,71.0
190,1679,191.0
191,1012,103.0
192,1288,142.0
193,3581,83.0
194,353,545.0
195,1286,215.0
196,2939,226.0
197,1231,8.0
198,917,49.0
199,3314,127.0
200,2923,75.0
201,7041,59.0
202,208,67.0
203,8259,937.0
204,425,52.0
205,1007,277.0
206,2404,149.0
207,561,33.0
208,1188,62.0
209,1210,80.0
210,398,28.0
211,381,22.0
212,4953,81.0
213,152,9.0
214,1766,352.0
215,246,155.0
216,318,195.0
217,1117,69.0
218,591,121.0
219,3086,351.0
220,410,47.0
221,2435,181.0
222,1731,275.0
223,604,3.0
224,389,152.0
225,2283,40.0
226,694,378.0
227,3473,222.0
228,1494,24.0
229,2221,218.0
230,1562,29.0
231,995,127.0
232,417,325.0
233,346,183.0
234,1110,264.0
235,389,71.0
236,519,
237,868,
238,800,
